movie,tokenCount,characterCount,sectionCount,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,totalProbSum
millerscrossing,13394,50,1495,0.118043077699169,0.131291736976587,0.118750930872333,0.124419354446603,0.129677985780936,0.114692383581589,0.136562387233694,0.126562143409088,143.031114302126
mimic,11159,33,1085,0.116685179920987,0.133835890868942,0.111285468853479,0.12083349389598,0.131262985039401,0.11811569588404,0.142811818691249,0.125169466845923,75.6417420565754
minorityreport,13300,58,1305,0.114776256595921,0.133126861146809,0.115599746107343,0.122375208824493,0.131149409778972,0.11782898387004,0.14081548381035,0.124328049866072,112.433975376137
missionimpossible,10876,35,1262,0.116534660289482,0.132908236600437,0.115902633315127,0.123401310177529,0.130253450891409,0.117171443492382,0.138195500049933,0.125632765183702,101.015711650055
missionimpossibleii,11315,42,1296,0.11696509902722,0.133316263703335,0.11384261014397,0.122344280395634,0.130770729548983,0.117775176468077,0.14110333346346,0.123882507249321,89.9646618954621
missiontomars,15175,24,1392,0.115324238085258,0.134904645685886,0.110818699931804,0.121472256314962,0.131787725542256,0.119546640435385,0.142535860182625,0.123609933821824,125.991518916919
moonstruck,10212,53,1315,0.112839957164344,0.134133807587657,0.112875181735378,0.1218870329441,0.133028782431763,0.116775810456537,0.143084625535815,0.125374802144407,111.161579406773
mrs.brown,8802,31,1118,0.120485650387237,0.130599035160424,0.121114809554186,0.12500467654339,0.127078048684026,0.113831257357009,0.133763296499085,0.128123225814644,73.7365157314374
mulhollanddrive,10587,59,1050,0.116734898159943,0.132230989749487,0.117807227739115,0.124159783804704,0.13050307095033,0.115164222941982,0.1381840412796,0.12521576537484,120.170001065087
mumford,12802,28,1492,0.117297847685241,0.131864139210802,0.118649960219652,0.125417959931437,0.129652058884968,0.114565565100838,0.138642463169461,0.123910005797601,171.54150715931
mummythe,13234,23,1336,0.116768290366409,0.13202535524086,0.114988232680686,0.120643819108644,0.129431780897839,0.118102668510449,0.140199551428535,0.127840301766578,105.175379587693
musicoftheheart,12364,63,1698,0.113472925144062,0.132103690048712,0.116023902096451,0.123383753151175,0.130600802063191,0.117216884687172,0.143393357871809,0.123804684937428,136.150325918316
mybestfriendswedding,13047,135,1927,0.118370287575166,0.132772630928926,0.118749917891659,0.125077574288082,0.129476815880668,0.11446328419358,0.13636481915078,0.124724670091139,141.202775448821
mymotherdreamsthesatansdisciplesinnewyork,3491,21,389,0.114325325236372,0.134207379648447,0.110912632524847,0.121309255877598,0.132730669947963,0.118678040653491,0.142784870579648,0.125051825531633,20.6761571019649
mysterymen,11338,87,1338,0.112798099569946,0.133583594694752,0.112181402908176,0.120994670063983,0.13250027083395,0.118717942985324,0.14421997430171,0.125004044642159,89.99798268288
naturalbornkillers,13438,64,1349,0.120892193585565,0.129758598737508,0.122390142366209,0.125380324489875,0.128361925288251,0.114249004631975,0.132026829280804,0.126940981619813,151.35621266824
nextfriday,7879,29,1293,0.1103011330569,0.1348473635445,0.113485630031424,0.123752846435447,0.133504995835264,0.118560554150406,0.143839088486015,0.121708388460044,84.0945570014767
nickoftime,10185,43,1301,0.117866396679117,0.131776249950147,0.117828649676758,0.12387522594196,0.129724150568227,0.116087819545842,0.138337858952078,0.124503648685871,109.238480093214
nightmareonelmstreeta,12984,54,1259,0.114638886028777,0.133173077824438,0.114200954981164,0.122358961489414,0.131875497669198,0.116840666165835,0.140280819909721,0.126631135931453,100.888360049206
nightmareonelmstreetthefinalchapter,12474,43,1201,0.115529833238402,0.13206403714145,0.114648890334669,0.121151704930387,0.130754801544697,0.116660288696652,0.141020338923674,0.12817010519007,108.750757420427
nottinghill,8252,38,1393,0.118522546766493,0.131030714602497,0.120012083052754,0.125953578178211,0.129429890539481,0.114080679008843,0.135799314597208,0.125171193254513,102.783302488356
nursebetty,14622,55,1896,0.117507626401532,0.132064511098046,0.118760585630736,0.124841197546273,0.129912193386324,0.114075066226912,0.137609814006767,0.125229005703411,184.99119804719
oneflewoverthecuckoosnest,12477,46,1601,0.114787344625596,0.133351629167381,0.114868377350474,0.123194378410258,0.131435332216455,0.119869926648886,0.139640175394868,0.122852836186083,141.16644304535
onlygodforgives,9733,25,1235,0.12041293528182,0.129625446044292,0.120343821580903,0.124517959926667,0.128922543555224,0.114132522945811,0.134399991961889,0.127644778703393,115.432273704767
outofsight,14096,56,2060,0.118989033335063,0.131703590349242,0.120207634263409,0.125408659730862,0.12990041053657,0.114423800549323,0.13469029514018,0.124676576095351,216.852740609168
panicroom,11736,13,1048,0.114261428502912,0.134208571364003,0.112488692747867,0.121657392713188,0.132580287214499,0.118884019966109,0.141301041780562,0.12461856571086,103.100433469061
patriotthe,15565,66,1555,0.120368958738323,0.130451031486869,0.118709350523511,0.119715667254878,0.12711314459538,0.115304477948306,0.137063667987981,0.131273701464751,126.365252092622
pearlharbor,17051,129,1756,0.12407213948892,0.129838345944144,0.118180237883096,0.121841999587867,0.12602402807716,0.114471814897296,0.134268078205777,0.131303355915739,173.562971961861
peepingtom,13194,53,1960,0.112971501026215,0.135772775625421,0.111084953612917,0.120778331588502,0.133843019121182,0.120351928662638,0.141246912325929,0.123950578037196,120.636936561348
peggysuegotmarried,12144,74,1585,0.111585769712513,0.133413209845152,0.114130579490468,0.123709306240465,0.13276829377792,0.116409229679968,0.144695260800145,0.123288350453369,130.020397497087
petsematary,14928,176,2182,0.113762401551685,0.132400131771727,0.113850517816804,0.123210806392171,0.132263640785203,0.118235779456581,0.141400596910679,0.124876125315151,154.012461699154
pi,7354,24,793,0.116017902382135,0.134661995306286,0.114253079892698,0.122824930961421,0.131450891233806,0.117401827876311,0.139714193421761,0.123675178925582,53.5590877859481
pianistthe,10530,77,1124,0.117254855067641,0.131645665489793,0.114540537848677,0.120771329996198,0.128745906086738,0.115066116820734,0.14273636491194,0.129239223778281,101.922192765246
pitchblack,9921,14,1339,0.116579972398455,0.132721463842585,0.114579198078349,0.121631734508277,0.129730146302844,0.117162943613684,0.140356364574756,0.127238176681049,83.1798271671003
platoon,15229,62,1282,0.114822342539751,0.134303340839136,0.111852838039699,0.121449476506255,0.132233908395021,0.118501929524682,0.141890254517308,0.124945909638147,151.982058202977
pleasantville,16085,64,1732,0.111269526405654,0.137116616180735,0.111437678187891,0.122186496137908,0.133534798868612,0.119181855507556,0.14339928635438,0.121873742357264,150.254975226781
pointbreak,15332,54,1170,0.115185489171477,0.133367571268862,0.113087165688934,0.122022347326464,0.131781868459898,0.119082701505305,0.140963521010201,0.124509335568861,117.928571440505
prettywoman,11220,46,1587,0.112131678739839,0.134776328785648,0.113867290949336,0.123740938402131,0.132437758690064,0.117429737179574,0.14347763126047,0.122138635992938,112.084915370287
prettywomanfinalscript,20677,73,2689,0.115599006292301,0.132423301830144,0.117537255668059,0.123539469988735,0.131134816143342,0.11674849883091,0.13822544071037,0.12479221053614,261.233794755015
